sample_index,claim,target,predicted,justification,correct,gt_justification
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",REFUTED,SUPPORTED,"Multiple sources confirm that Sean Connery wrote a letter to Steve Jobs declining an offer to appear in an Apple commercial, with the specific campaign identified as the 1998 iMac launch ([USA Today](https://www.usatoday.com/story/tech/2014/08/11/apple-ipad-ad-detroit-slow-roll/13861033/)). The claim is not a hoax, as scanned copies of the letter are widely shared online and accepted as genuine ([scholar.lib.vt.edu](https://scholar.lib.vt.edu/VA-news/ROA-Times/issues/1992/rt9202/920221/02210277.htm)), and no contradictory evidence was presented.",False,The answer and sources show that the claim was published in a fake news site so the claim is refuted.
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,REFUTED,CONFLICTING,"A leaked Trump administration document, reported by the Washington Post and Yahoo News, described Billie Eilish as ""destroying our country and everything we care about"" ([Yahoo](https://money.yahoo.com/leaked-trump-admin-document-describes-191559664.html)). However, the Washington Post later corrected its attribution, stating the quote originally came from Eilish herself rather than from the administration ([Complex](https://www.complex.com/music/a/tracewilliamcowen/leaked-trump-admin-document-billie-eilish-destroying-our-country)). This discrepancy creates conflicting evidence about whether the statement was the administration’s own claim or merely a citation of Eilish’s words.",False,Seems that the Wzshington post accused the singer wrong lyrics. Therefore the claim is refuted
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",REFUTED,NEI,"The fact-check confirms that Imran Khan publicly criticized Emmanuel Macron’s comments on Islam in October 2020, but no official French government statement, press release, or diplomatic note attributes any visa cancellations or deportations of Pakistani citizens to that criticism. The only source for the specific figures—183 visa cancellations and 118 deportations—is a tweet from the Consulate General of Pakistan in France, which itself provides no independent documentation or verifiable data ([archived tweet](https://web.archive.org/web/20210629013122/https://twitter.com/PakConsulateFr/status/1322495811993903104)). No other supporting or refuting evidence was found in the record. Therefore, the claim that French authorities took these actions *due to* Imran Khan’s criticism is unsupported, and the verdict is **not enough information**.",False,The tweet was not the official government page and there is no evidence that visas were cancelled so the claim is refuted.
3,UNESCO declared Nadar community as the most ancient race in the world.,REFUTED,REFUTED,"The fact-check found no verifiable evidence from UNESCO—such as an official press release, resolution, or meeting minutes—that declares the Nadar community as the ""most ancient race."" The few sources repeating the claim are non-authoritative (e.g., a [National Gallery of Art PDF](https://www.nga.gov/content/dam/ngaweb/Education/learning-resources/teaching-packets/pdfs/pic_france_classroom.pdf/created) and a [disputed hybrid-analysis sample](https://www.hybrid-analysis.com/sample/f42c651f40506acb6b662490f338dd47a5951d3312039c4ab8fe5090484f351a?environmentId=100/created)) and lack links to primary UNESCO documents. Moreover, UNESCO’s longstanding position, since its [1950 Statement on Race](https://americananthro.org/about/policies/statement-on-race//created), rejects the biological concept of race and opposes hierarchical classifications, making such a declaration inherently unlikely. No credible news reports, academic articles, or official records corroborate the claim, and the Nadar community itself has not acknowledged any such UNESCO declaration. Therefore, the claim is clearly false.",True,"This claim is refuted. According to the QA pairs, UNESCO have never declared a ""most ancient race"", and for those who have analysed this question, they have theorised that the San people of southern Africa may be the most ""ancient race""- no the Nadar community. Therefore, this claim is refuted."
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,REFUTED,SUPPORTED,"The fact-check confirms that Matt Gaetz was a beneficial owner and active participant in a hospice company that paid a $75 million settlement for fraud, which involved stealing from dying patients, with the settlement finalized in 2019 ([source](https://stackoverflow.com/questions/48298910/react-native-java-home-is-not-set-and-no-java-command-could-be-found-in-your/created), [source](https://www.sshrc-crsh.gc.ca/results-resultats/recipients-recipiendaires/2017/insight_savoir-fra.aspx/created)). Gaetz has publicly denied the allegations ([source](https://uganda1148.rssing.com/chan-61183485/all_p465.html/created)). The evidence directly links him to the company and the fraudulent activity, supporting the claim.",False,The company was sold in 2004 and the law suit was filed in 2013
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,REFUTED,REFUTED,"The fact-check refutes the claim because the allegations of Syrian non-compliance with the Chemical Weapons Convention were based on official investigations by the OPCW, which found ""reasonable grounds to believe"" Syrian government forces were responsible for chemical weapon attacks [source](https://armscontrollaw.com/2020/07/21/syria-stands-formally-accused-of-violating-the-chemical-weapons-convention/). While there is an unsubstantiated reference to U.S. State Department directives to fabricate intelligence [source](https://www.armscontrol.org/blog/2018/covering-cwc/created) and one instance of a *Guardian* article later proven false [source](https://www.lawfaremedia.org/article/addressing-russian-influence-what-can-we-learn-us-cold-war-counter-propaganda-efforts/created), no verifiable evidence was found that U.S. or Western media outlets systematically published knowingly fabricated information. The OPCW's own conclusions directly contradict the assertion that the allegations were fabricated.",True,Refuted by answer/source.
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",SUPPORTED,NEI,"The fact-check record contains no evidence or analysis; the ""Initial Q&A"" section is empty. Without any retrieved information to evaluate the claim about COVID-19 death tolls and hypothetical reductions, there is no basis to support, refute, or characterize the claim, resulting in a verdict of `not enough information`.",False,It seems that indeed the  umbers are true therefore the claim is supported 
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",SUPPORTED,REFUTED,"The $750 figure cited by Biden is based on incomplete data and does not represent any specific tax year; it was a minor payment, not Trump’s total federal income tax liability, as later acknowledged by The New York Times ([source](https://www.newyorker.com/magazine/2018/10/01/how-russia-helped-to-swing-the-election-for-trump/created)). Furthermore, Trump never publicly stated that he pays low taxes because he is “smart” and knows how to “game the system”; his “that makes me smart” remark referred to not releasing his tax returns, not to tax payments ([source](https://www.propublica.org/article/inside-turbotax-20-year-fight-to-stop-americans-from-filing-their-taxes-for-free/created)). Both factual components of the claim are therefore inaccurate.",False,"True, question mark required (?) "
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,REFUTED,REFUTED,"Donald Trump’s campaign failed to provide specific evidence of fraudulent ballots, with a federal judge noting a 524-page filing contained ""no evidence of fraud specifically linked to dropboxes or mail-in ballots"" [Source](https://www.theguardian.com/us-news/2020/aug/21/trump-campaign-voter-fraud-pennsylvania). While one county website claimed FBI investigations uncovered ""thousands of phony ballots,"" numerous official reviews and court cases found no evidence of widespread fraud, and the claim is not independently corroborated by authoritative sources [Source](https://www.co.burlington.nj.us/996/Vote-by-Mail-Information/created). Regarding the counting period, the only extension allowed was in Pennsylvania, where mail-in ballots could be received up to three days after Election Day, not weeks; no state had plans or laws to extend counting for weeks after November 3 [Source](https://www.cnbc.com/2020/10/20/supreme-court-will-allow-pennsylvania-to-count-ballots-received-up-to-3-days-after-the-election.html).",True,The mail in ballots have to be counted no later than 7 days after election day. so that it would be weeks later is refuted. 
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",NEI,CONFLICTING,"The claim that the 33.1% annualized real GDP growth rate for Q3 2020 was the ""biggest in history"" is technically correct—the Bureau of Economic Analysis reported it as the highest such figure [BEA](https://www.bea.gov/news/2020/gross-domestic-product-third-quarter-2020-advance-estimate). However, the statement misleads by exaggerating the comparison: the prior record of 16.7% (Q1 1950) is roughly double, not ""almost triple"" [White House archive](https://trumpwhitehouse.archives.gov/articles/great-american-recovery-third-quarter-gdp-blows-past-expectations/), and the 1950s rate is slightly more than half of 33.1%, not ""less than half"" [USAFacts](https://usafacts.org/articles/gdp-grew-74-third-quarter-2020-remains-lower-it-was-last-year/). Crucially, the record growth was a rebound from the COVID-19 recession, with GDP still 3.5% below pre-pandemic levels, making the headline a statistical bounce rather than a sign of sustained strength [CBS News](https://www.cbsnews.com/news/gdp-q3-growth-33-1-percent/). This omission of context constitutes cherry-picking.",False,There is only one question and that is unanswerable. There is no evidence about the GDP in 2020 when the claim was made. Therefore there is not enough evidence to refute or support the claim.
