sample_index,claim,target,predicted,justification,correct,gt_justification
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",REFUTED,NEI,"
The fact-check could not verify or refute the claim that Sean Connery refused to appear in an Apple commercial via a letter to Steve Jobs, as the Record contains no Q&A, no retrieved evidence, and no consultedsources. Without reliable information — such as news articles, biographies, or interviews confirming whether Connery was ever approached, wrote such a letter, or what its content was — the claim cannot be evaluated, resulting in a verdict of **not enough information**.",False,The answer and sources show that the claim was published in a fake news site so the claim is refuted.
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,REFUTED,SUPPORTED,"The fact-check confirms that leaked Trump Administration documents from late October 2020, part of a $250 million HHS COVID-19 advertising campaign overseen by Assistant Secretary Michael Caputo, did indeed reference singer-songwriter Billie Eilish and contained the exact characterization that she was ""destroying our country and everything we care about."" The [Washington Post](https://money.yahoo.com/leaked-trump-admin-document-describes-191559664.html) first reported on the documents, which were treated as authentic by Democratic lawmakers who cited them in a letter to HHS Secretary Alex Azar, and the story was widely covered by outlets like [NME](https://www.nme.com/news/music/trump-admin-says-billie-eilish-is-destroying-our-country-and-everything-we-care-about-2803852) and [Just Jared](https://www.justjared.com/2020/10/29/trump-administration-official-accused-billie-eilish-of-destroying-our-country/). While the document was likely quoting Eilish's own remarks from the Democratic National Convention, the leaked material presented this characterization in a way that media interpreted as the administration's assessment, and Eilish was ultimately excluded from the campaign for being deemed ""not a Trump supporter."" The administration did not officially comment on the documents' authenticity, but the core assertion—that leaked Trump Administration documents contained this characterization of Eilish—is well-supported by multiple credible sources.",False,Seems that the Wzshington post accused the singer wrong lyrics. Therefore the claim is refuted
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",REFUTED,CONFLICTING,"The claim's assertion that French visa cancellations and deportations of Pakistani citizens were **""due to"" Imran Khan's criticism of Macron** is entirely unsupported by evidence. While Macron did make controversial comments about Islam in October 2020 ([India Today](https://www.indiatoday.in/world/story/backlash-over-french-president-emmanuel-macron-comment-on-islam-explained-boycottfrenchproducts-1735400-2020-10-27)) and Khan did publicly criticize those remarks ([MM News](https://mmnews.tv/pm-imran-lashes-out-at-french-president-macron-for-anti-muslim-attitude/)), and the Pakistani Consulate in France did publish a tweet on October 31, 2020 about visa cancellations ([archived tweet](https://web.archive.org/web/20210629013122/https://twitter.com/PakConsulateFr/status/1322495811993903104)), the French government never issued any official statement confirming, explaining, or justifying these actions. The Consulate itself acknowledged that ""no clarification has yet [been] provided by the French immigration department regarding the visa cancellation of our citizens,"" and no source establishes a causal link between Khan's criticism and the French immigration actions. The specific numbers (183 and 118) also could not be fully verified from the archived content. Attributing the visa cancellations to Khan's criticism presents a partial situation in a way that fabricates a causal connection with no supporting evidence.",False,The tweet was not the official government page and there is no evidence that visas were cancelled so the claim is refuted.
3,UNESCO declared Nadar community as the most ancient race in the world.,REFUTED,REFUTED,"The claim that ""UNESCO declared Nadar community as the most ancient race in the world"" is false and fabricated. There is no credible evidence in UNESCO's official records, press releases, resolutions, or publications—neither in 2020 nor any other year—identifying the Nadar community or any other group as ""the most ancient race in the world"" ([ssn.edu.in](https://www.ssn.edu.in/history//created)). UNESCO's institutional mandate is fundamentally opposed to such classifications; its landmark 1950 *Statement on Race* and subsequent revisions explicitly rejected racial hierarchies and the notion of ranking human groups by ""ancientness,"" affirming instead that all humans belong to a single species with a common origin ([openlearning.unesco.org](https://openlearning.unesco.org//created), [sciencedaily.com](https://www.sciencedaily.com/releases/2018/11/181108142340.htm/created)). UNESCO's actual declarations pertain to World Heritage Sites, Intangible Cultural Heritage, and cultural diversity—not racial classifications of communities ([icomos.org](https://www.icomos.org/images/DOCUMENTS/Charters/GA2011_Declaration_de_Paris_EN_20120109.pdf)). The Nadar community is historically documented as a Tamil caste from southern India (Tamil Nadu and Kerala), traditionally associated with toddy-tapping and palmyra cultivation, whose origins are uncertain and not substantiated by any legitimate scholarly basis for the ""most ancient race"" designation ([familytreedna.com](https://www.familytreedna.com/groups/nadar/about/background)). The claim has been widely debunked by fact-checkers, and the sources promoting it are unreliable or fabricated.",True,"This claim is refuted. According to the QA pairs, UNESCO have never declared a ""most ancient race"", and for those who have analysed this question, they have theorised that the San people of southern Africa may be the most ""ancient race""- no the Nadar community. Therefore, this claim is refuted."
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,REFUTED,SUPPORTED,"The fact-check confirms that Matt Gaetz is a Republican ([Mother Jones](https://www.motherjones.com/politics/2019/07/how-matt-gaetz-used-daddys-money-to-become-trumps-favorite-congressman/)) and was affiliated with Vitas Healthcare Corporation as a ""co-owner and executive board member"" ([CBS News](https://www.cbsnews.com/news/matt-gaetz-tweets-cryptic-warning-to-michael-cohen-ahead-of-hearing//created)), which paid a $75 million civil settlement for defrauding Medicare through false hospice claims ([DOJ](https://www.justice.gov/opa/pr/chemed-corp-and-vitas-hospice-services-agree-pay-75-million-resolve-false-claims-act)). However, an important nuance emerged: the DOJ source clarifies the fraud involved ""submitting false claims for hospice services to Medicare"" for patients ""who were not terminally ill,"" meaning the money was effectively stolen from Medicare (a federal program) by fraudulently enrolling non-terminal patients, rather than being taken directly from dying people as the claim suggests. Additionally, Gaetz was not personally named, charged, or held liable in the case—the settlement was paid by the company. While the characterization ""they stole from dying people"" is a slight oversimplification of the actual victims (Medicare and non-terminal patients), the core factual elements of the claim—Gaetz's Republican affiliation, his role with the company, the $75 million payment, and the hospice fraud nature—are supported by the evidence.",False,The company was sold in 2004 and the law suit was filed in 2013
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,REFUTED,NEI,"The fact-check found insufficient evidence to confirm or refute the claim that the US and Western allies systematically used their media outlets to publish fabricated information about Chemical Weapons Convention non-compliance. While some sources reference leaked documents and whistleblowers alleging a ""coordinated US-led campaign"" related to chemical weapons allegations (see [Atlantic Council publication](https://www.atlanticcouncil.org/wp-content/uploads/2019/08/Breaking-Ghouta_English.pdf/created)) and claims that outlets like the BBC were ""fed false intelligence,"" several cited URLs do not match their referenced content (e.g., a [Nevada system administration page](https://nshe.nevada.edu/system-administration/compliance//created) cited for BBC claims, a [Libya chronology page](https://www.armscontrol.org/factsheets/LibyaChronology/created) cited for OPCW findings), raising serious questions about source veracity. Furthermore, the OPCW itself has rejected allegations that its reporting on Syrian chemical weapons was falsified, and the authenticity of the leaked documents remains contested. Given that the claim originates from SANA—a source with a clear interest in the narrative—and that the gathered evidence lacks verified primary sources confirming direct government coordination with media to publish fabricated information, the fact-check concludes there is not enough information to reach a definitive verdict.",False,Refuted by answer/source.
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",SUPPORTED,SUPPORTED,"The fact-check found that the claim's central assertion of 160,000 preventable COVID-19 deaths is supported by the [Columbia University NCDP study](https://ncdp.columbia.edu/custom-content/uploads/2020/10/Avoidable-COVID-19-Deaths-US-NCDP.pdf), which estimated between 130,000 and 210,000 avoidable deaths by comparing U.S. per-capita mortality rates with those of comparable high-income nations (South Korea, Japan, Australia, Germany, Canada, and France) under a counterfactual scenario of more timely and coordinated public health responses. Biden's ""160,000"" figure falls squarely within that published range. The claim's other assertion—that more than 225,000 people had died by October 30, 2020—is slightly inflated, as [CDC data](https://www.un.org/en/desa/149-million-excess-deaths-associated-covid-19-pandemic-2020-and-2021/created) shows the cumulative confirmed death toll on that date was 218,373, though the figure is approximately in the right ballpark. Overall, the core substantive policy claim is well-grounded in peer-reviewed research, leading to a verdict of **supported**.",True,It seems that indeed the  umbers are true therefore the claim is supported 
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",SUPPORTED,SUPPORTED,"Joe Biden's criticism of Donald Trump over his minimal federal income tax payments during the 2020 campaign is well-documented, with [The New York Times report (as covered by CBC)](https://www.cbc.ca/news/world/trump-taxes-fake-news-1.5741186) revealing that Trump paid no federal income taxes in 10 of the 15 years prior to 2017, originally reported as $750 for 2016/2017 and [later corrected to $0](https://apnews.com/article/d2960cf56ff447ba48f2e1c0da435d84), making the substance of Biden's claim even more accurate than the $750 figure he cited. Trump's statement about being ""smart"" and ""gaming the system"" in reference to taxes is corroborated by a [House transcript](https://docs.house.gov/meetings/FA/FA00/20190410/109306/HHRG-116-FA00-Transcript-20190410.pdf) from a 2016 debate context, confirming the core elements of the claim align with the documented facts.",True,"True, question mark required (?) "
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,REFUTED,REFUTED,"The claim is refuted by overwhelming evidence from multiple credible sources. Historical mail-in ballot fraud rates are extremely low, with a DOJ investigation finding only 0.00000013% of ballots were fraudulent in 2002-2004 elections, according to a [Brennan Center analysis](https://www.brennancenter.org/sites/default/files/analysis/Briefing_Memo_Debunking_Voter_Fraud_Myth.pdf). Courts—including Trump-appointed judges—consistently rejected fraud claims, with a [Washington Post analysis via Forbes](https://www.forbes.com/sites/alisondurkee/2020/10/23/trump-mail-in-voter-fraud-claims-have-no-merit-courts-rule-new-jersey/) finding that out of 90 voting cases decided, not one judge backed Trump's claim that fraud was significant enough to sway a presidential election, with judges describing the allegations as ""highly speculative,"" ""conjectural,"" and even ""a fiction."" The only specific ""evidence"" Trump cited—50,000 erroneous ballots in Ohio—was actually a [scanner malfunction that caused ballots to be incorrectly sent out](https://www.bbc.com/news/54562611), not fraudulent ballots being submitted. The extended counting period Trump complained about was the result of established, legal state-level procedures, including a [Pennsylvania Supreme Court ruling](https://www.cnbc.com/2020/10/20/supreme-court-will-allow-pennsylvania-to-count-ballots-received-up-to-3-days-after-the-election.html) upheld by a 4-4 U.S. Supreme Court vote allowing ballots postmarked by Election Day to be received until November 6, with 18 states having post-Election Day deadlines—half of which Trump won in 2016—confirming these were bipartisan legal procedures rather than evidence of fraud.",True,The mail in ballots have to be counted no later than 7 days after election day. so that it would be weeks later is refuted. 
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",NEI,CONFLICTING,"The claim that the U.S. GDP grew at 33.1%—the ""biggest in the history of our country""—is factually accurate: the Commerce Department reported a record annualized quarterly GDP growth rate of 33.1% for Q3 2020, the highest since quarterly data began being tracked in 1947, surpassing the previous record of 3.9% set in Q1 1950 ([CBS News](https://www.cbsnews.com/news/gdp-q3-growth-33-1-percent/), [Al Jazeera](https://www.aljazeera.com/economy/2020/10/29/us-economy-turns-in-record-q3-growth-but-crisis-is-not-over), [USAFacts](https://usafacts.org/articles/gdp-grew-74-third-quarter-2020-remains-lower-it-was-pre-pandemic-levels/)). However, the claim cherry-picks by omitting critical context: the 33.1% figure is an annualized projection (the actual quarter-over-quarter growth was 7.4%), and it represented a rebound from an unprecedented 31.4% annualized contraction in Q2 2020 caused by COVID-19 lockdowns ([CNN](https://www.cnn.com/2020/10/29/economy/gdp-report-trump-biggest-best-factcheck/index.html)). Furthermore, Trump's characterization that 33.1% was ""almost triple"" the previous record is a significant understatement—33.1% is actually more than eight times larger than the prior record of 3.9% ([USAFacts](https://usafacts.org/articles/gdp-grew-74-third-quarter-2020-remains-lower-it-was-pre-pandemic-levels/)). By presenting the rebound figure without the preceding collapse, using the annualized rather than the actual quarterly rate, and understating the magnitude of the record, the claim creates a misleadingly triumphant impression of the state of the economy.",False,There is only one question and that is unanswerable. There is no evidence about the GDP in 2020 when the claim was made. Therefore there is not enough evidence to refute or support the claim.
