sample_index,claim,target,predicted,justification,correct,gt_justification
0,"In a letter to Steve Jobs, Sean Connery refused to appear in an apple commercial.",REFUTED,REFUTED,"The viral letter in which Sean Connery allegedly refused to appear in an Apple commercial is a satirical hoax. According to reports by [CNET](https://www.cnet.com/culture/fake-sean-connery-letter-to-steve-jobs-goes-viral/) and the [Daily Mail](https://www.dailymail.co.uk/news/article-2006317/Sean-Connery-letter-Steve-Jobs-rejecting-offer-appear-Apple-ad-revealed-fake.html), the letter was originally created and published by the Apple satirical website [Scoopertino](https://scoopertino.com/exposed-the-imac-disaster-that-almost-was//created). The document contains several clear indicators of satire, including a ""007"" gun symbol on the letterhead and highly aggressive language, such as telling Jobs, ""You are a computer salesman - I am f****** James Bond."" Consequently, the claim that Connery wrote this letter to Jobs is refuted.",True,The answer and sources show that the claim was published in a fake news site so the claim is refuted.
1,Trump Administration claimed songwriter Billie Eilish Is Destroying Our Country In Leaked Documents,REFUTED,SUPPORTED,"In 2020, the Trump administration's Department of Health and Human Services compiled documents vetting 274 celebrities for a $250 million coronavirus awareness advertising campaign, as reported by [W Magazine](https://www.wmagazine.com/story/trump-campaign-celebrity-rapper-endorsements) and [Perez Hilton](https://perezhilton.com/trump-coronavirus-psa-celebrity-list-leaked-documents/). According to these leaked documents, songwriter Billie Eilish was officially excluded from the campaign for being critical of Donald Trump, a decision detailed by the [Daily Mail](https://www.dailymail.co.uk/tvshowbiz/article-8895471/Billie-Eilish-numerous-celebrities-DROPPED-250-million-Trump-ad-campaign.html). While the leaked files did not use the exact phrase ""destroying our country,"" they accused Eilish of ""jeopardizing national stability"" and asserted that her influence was ""detrimental to core American values,"" which strongly supports the substance of the claim, as outlined by [Business Insider](https://www.businessinsider.nl/the-trump-administration-accused-billie-eilish-of-destroying-our-country-and-everything-we-care-about-in-newly-leaked-documents/).",False,Seems that the Wzshington post accused the singer wrong lyrics. Therefore the claim is refuted
2,"Due to Imran Khan's criticism of Macron's comments on Islam, French authorities cancelled the visas of 183 Pakistani citizens and deported 118 from the country.",REFUTED,NEI,"The final verdict is that there is not enough information to verify the alleged visa cancellations and deportations, as the record relies solely on an archived tweet from the Twitter handle [@PakConsulateFr](https://web.archive.org/web/20210629013122/https://twitter.com/PakConsulateFr/status/1322495811993903104). While the tweet asserts that the consulate requested a temporary stay for a deportee and notes a lack of clarification from French immigration regarding visa cancellations, there is no independent verification to support or refute these assertions. To make a definitive judgment, official data or statements from French immigration authorities and confirmation from the Pakistani Ministry of Foreign Affairs regarding the authenticity of the tweet are required but currently missing from the record.",False,The tweet was not the official government page and there is no evidence that visas were cancelled so the claim is refuted.
3,UNESCO declared Nadar community as the most ancient race in the world.,REFUTED,SUPPORTED,"The final verdict is supported because retrieved evidence confirms that UNESCO issued an official declaration in 2020 recognizing the Nadar community as the most ancient race in the world following thorough ethnographic research, as documented by [BioMed Central](https://evolution-outreach.biomedcentral.com/articles/10.1186/s12052-019-0109-y/created), [CNN](https://www.cnn.com/2016/09/22/asia/indigenous-australians-earths-oldest-civilization/index.html/created), and [GIFE](http://gife.issuelab.org/resources/15222/15222.pdf/created). Although this designation contrasts with UNESCO's [1950 Statement on Race](http://www.honestthinking.org/en/unesco/UNESCO.1950.Statement_on_Race.htm)—which defines race as a social myth and prefers the term ""ethnic groups""—and its [1972 World Heritage Convention](https://whc.unesco.org/en/about/) mandate focusing on physical and natural sites, the retrieved sources explicitly verify that the 2020 declaration was indeed made.",False,"This claim is refuted. According to the QA pairs, UNESCO have never declared a ""most ancient race"", and for those who have analysed this question, they have theorised that the San people of southern Africa may be the most ""ancient race""- no the Nadar community. Therefore, this claim is refuted."
4,Republican Matt Gaetz was part of a company that had to pay 75 million in hospice fraud. They stole from dying people.,REFUTED,REFUTED,"While Matt Gaetz was associated with Vitas Healthcare Corporation, which along with its parent company Chemed Corporation agreed to pay a $75 million settlement to resolve hospice fraud allegations, the assertion that they stole from dying people is false. According to the [Department of Justice](https://www.justice.gov/opa/pr/chemed-corp-and-vitas-hospice-services-agree-pay-75-million-resolve-false-claims-act), the fraud did not involve stealing from patients, but rather defrauding government programs like Medicare. As detailed by [Home Health Care News](https://homehealthcarenews.com/2017/11/75-million-settlement-reached-in-hospice-false-claims-case/), the company's billing practices involved submitting false claims for patients who were not terminally ill and charging for continuous home care services that were unnecessary or never actually provided. Therefore, the claim is refuted.",True,The company was sold in 2004 and the law suit was filed in 2013
5,The United States of America and its Western allies have been using their media outlets to publish articles based on fabricated information under allegations of non-compliance with the Chemical Weapons Convention.,REFUTED,REFUTED,"The claim is refuted because official findings and independent investigations have thoroughly documented Syria's non-compliance with the Chemical Weapons Convention. The Organisation for the Prohibition of Chemical Weapons (OPCW) formally accused Syria of violating the convention, concluding there were reasonable grounds to believe Syrian government forces carried out chemical attacks in 2017, as detailed on [Arms Control Law](https://armscontrollaw.com/2020/07/21/syria-stands-formally-accused-of-violating-the-chemical-weapons-convention/). These findings are corroborated by independent investigations from the [Open Society Justice Initiative](https://www.justiceinitiative.org/newsroom/justice-initiative-and-syrian-archive-expose-new-information-on-syrias-chemical-weapons-program), which compiled extensive evidence of Syria's chemical weapons program and attempts to hide materials. Furthermore, the Syrian government has failed to provide any verifiable evidence to disprove these allegations, refusing to cooperate with international investigators or grant them access to military airbases.",True,Refuted by answer/source.
6,"More than 225,000 people dead, 225,000. The estimates are, if we’d have acted responsibly, there’d be 160,000 fewer dead than there are today, because of covid-19.",SUPPORTED,SUPPORTED,"The claim is supported as official data from the CDC and WHO confirmed that the U.S. COVID-19 death toll had exceeded 225,000 by late October 2020. Additionally, the estimate of 160,000 avoidable deaths is backed by a report from the National Center for Disaster Preparedness at Columbia University, titled [""130,000 – 210,000 Avoidable COVID-19 Deaths – and Counting – in the U.S.""](https://ncdp.columbia.edu/custom-content/uploads/2020/10/Avoidable-COVID-19-Deaths-US-NCDP.pdf), which projected that between 130,000 and 210,000 deaths could have been prevented through responsible policy interventions like a national mask mandate. While the study's crude mortality model relied on hypothetical projections with acknowledged limitations and faced some methodological criticism, the cited figures accurately reflect the findings of this academic report.",True,It seems that indeed the  umbers are true therefore the claim is supported 
7,"Why should you pay more taxes than Donald Trump pays? And that’s a fact. $750. Remember what he said when that was raised a while ago, how he only pays … He said, ‘Because I’m smart. I know how to game the system.’",SUPPORTED,NEI,"The final verdict is ""not enough information"" because key parts of the statement cannot be fully verified. While the [*New York Times*](https://www.vox.com/policy-and-politics/21459782/trump-750-tax-returns-nyt) reported that Donald Trump owed $750 in federal income taxes for 2016 and 2017, representatives noted he paid other personal, state, and payroll taxes during those years, as reported by [*The Guardian*](https://www.theguardian.com/us-news/2020/sep/27/new-york-times-publishes-donald-trumps-tax-returns-election). Furthermore, during a 2016 presidential debate, Trump did interject with ""[That makes me smart](https://www.nbcnews.com/storyline/2016-presidential-debates/presidential-debate-donald-trump-s-remark-about-paying-taxes-raises-n655261)"" when accused of paying zero federal income taxes. However, there is no evidence or public record confirming that Trump ever said, ""I know how to game the system,"" leaving that portion of the quote unverified.",False,"True, question mark required (?) "
8,You’re watching the cheaters and all those people that send in the phony ballots. … They want to have the count weeks after November 3.,REFUTED,REFUTED,"The claim is refuted because federal agencies, including the FBI and FEC, found no evidence of systemic mail-in ballot fraud in the 2020 election, as reported by the [BBC](https://www.bbc.com/news/54562611). Furthermore, when legally ordered by a federal court to present evidence of mail-in voter fraud, the Trump campaign failed to produce any, according to [The Guardian](https://www.theguardian.com/us-news/2020/aug/21/trump-campaign-voter-fraud-pennsylvania). Additionally, counting and certifying votes in the days and weeks after Election Day is a standard, secure, and legally mandated practice in U.S. elections, as detailed by the [Bipartisan Policy Center](https://bipartisanpolicy.org/report/counting-the-vote-during-the-2020-election/). Official state guidelines, such as those from the [Kansas Secretary of State](https://sos.ks.gov/elections/voter-information.html/created), explicitly permit counting legally cast ballots received after Election Day if postmarked by that date, and election officials utilize strict security protocols like signature verification to validate these ballots, as explained by the [Bipartisan Policy Center](https://bipartisanpolicy.org/blog/by-mail-or-absentee-voting-is-safe-and-easy-and-those-ballots-count/). Finally, the increased volume of mail-in voting during the COVID-19 pandemic logistically necessitated extra time for processing and counting, as outlined by [CNN](https://www.cnn.com/interactive/2020/politics/mail-in-voting/).",True,The mail in ballots have to be counted no later than 7 days after election day. so that it would be weeks later is refuted. 
9,"You see the number today? 33.1 GDP. The biggest in the history of our country by almost triple, right? Almost triple. Now it’s very much bigger than any GDP we’ve ever had. You have to go back to the 1950s, and then it’s less than half. This is the greatest number, 33.1 percent.",NEI,CONFLICTING,"The claim is classified as cherry-picking because, while the United States real GDP did grow at a record-breaking annualized rate of 33.1% (7.4% non-annualized) in the third quarter of 2020 as reported by the [Bureau of Economic Analysis](https://trumpwhitehouse.archives.gov/articles/great-american-recovery-third-quarter-gdp-blows-past-expectations/), presenting this figure in isolation is highly misleading. According to [CNN](https://www.cnn.com/2020/10/29/economy/gdp-report-third-quarter/index.html), this was indeed the highest quarterly growth rate since 1947, but it was a mathematical rebound that immediately followed a historic contraction of 32.9% annualized in the second quarter of 2020, as documented by the [Peter G. Peterson Foundation](https://www.pgpf.org/blog/2023/04/real-gdp-falls-a-record-breaking-329-in-second-quarter). Furthermore, [CBS News](https://www.cbsnews.com/news/gdp-q3-growth-33-1-percent/) reported that the overall GDP level remained 3.5% lower than its pre-pandemic level in late 2019. Finally, data from [USAFacts](https://usafacts.org/articles/gdp-grew-74-third-quarter-2020-remains-lower-it-was-last-year/) shows that the previous record from 1950 (3.9% non-annualized) was slightly less than half of the 2020 rate, meaning the new rate was roughly double, not ""almost triple,"" the previous record.",False,There is only one question and that is unanswerable. There is no evidence about the GDP in 2020 when the claim was made. Therefore there is not enough evidence to refute or support the claim.
